Timestamp,CAN_ID,DLC,data1,data2,data3,data4,data5,data6,data7,data8,Label,Datetime,SecondsSinceStart
1749462091.255688,28192829,8,100,3,223,225,105,249,255,26,Normal,2025-06-09T15:11:31.255688,0.0
1749462091.309087,260506158,8,5,177,227,181,144,212,183,63,Normal,2025-06-09T15:11:31.309087,0.053399
1749462091.352776,374877580,8,147,11,119,78,199,109,46,181,Normal,2025-06-09T15:11:31.352776,0.097088
1749462091.409082,508341778,8,6,69,30,213,206,202,100,232,Normal,2025-06-09T15:11:31.409082,0.153394
1749462091.44741,107204272,8,113,22,147,93,199,16,210,108,Normal,2025-06-09T15:11:31.447410,0.191722
1749462091.50789,410444458,8,121,22,159,253,143,151,97,27,Normal,2025-06-09T15:11:31.507890,0.252202
1749462091.558617,208971397,8,198,221,33,46,16,6,20,44,Normal,2025-06-09T15:11:31.558617,0.302929
1749462091.605914,169602780,8,36,146,170,163,91,79,64,216,Normal,2025-06-09T15:11:31.605914,0.350226
1749462091.659398,362021447,8,78,31,114,216,189,173,73,79,Normal,2025-06-09T15:11:31.659398,0.40371
1749462091.708676,507447846,8,80,181,231,203,166,104,234,146,Normal,2025-06-09T15:11:31.708676,0.452988
1749462091.758085,47865267,8,236,9,247,214,199,15,3,138,Normal,2025-06-09T15:11:31.758085,0.502397
1749462091.802934,353552014,8,213,162,235,17,86,230,203,24,Normal,2025-06-09T15:11:31.802934,0.547246
1749462091.85831,493434101,8,96,159,79,215,180,94,250,151,Normal,2025-06-09T15:11:31.858310,0.602622
1749462091.906335,235823425,8,113,233,111,28,94,11,242,67,Normal,2025-06-09T15:11:31.906335,0.650647
1749462091.956102,416410912,8,162,202,59,124,95,62,251,93,Normal,2025-06-09T15:11:31.956102,0.700414
1749462092.008576,189668673,8,3,215,133,245,60,1,179,202,Normal,2025-06-09T15:11:32.008576,0.752888
1749462092.05695,124903859,8,110,97,255,118,48,96,25,170,Normal,2025-06-09T15:11:32.056950,0.801262
1749462092.108877,74216524,8,65,117,20,124,131,133,185,5,Normal,2025-06-09T15:11:32.108877,0.853189
1749462092.152436,366154747,8,115,109,185,94,223,55,225,7,Normal,2025-06-09T15:11:32.152436,0.896748
1749462092.20748,375619674,8,238,203,222,206,156,224,200,93,Normal,2025-06-09T15:11:32.207480,0.951792
1749462092.259337,317391485,8,232,105,24,78,233,30,245,34,Normal,2025-06-09T15:11:32.259337,1.003649
1749462092.308154,4663380,8,178,236,218,150,35,188,202,76,Normal,2025-06-09T15:11:32.308154,1.052466
